,Question_no,signal1,bag1,bag1_ado_id,bag1_start_absolute,bag1_end_absolute,signal2,bag2,bag2_ado_id,bag2_start_absolute,bag2_end_absolute
56,56,3,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000130.0,1689289463.910966,1689289471.6494863,7,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000135.0,1689287673.8520277,1689287678.0702848
57,57,3,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000130.0,1689289463.910966,1689289471.6494863,8,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000136.0,1689287708.1424773,1689287726.5842853
58,58,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000131.0,1689289492.026406,1689289498.5516896,5,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000132.0,1689289511.1360555,1689289521.8765376
59,59,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000131.0,1689289492.026406,1689289498.5516896,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000133.0,1689289549.5415916,1689289554.4763205
60,60,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000131.0,1689289492.026406,1689289498.5516896,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000134.0,1689289561.4090374,1689289575.4072025
61,61,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000131.0,1689289492.026406,1689289498.5516896,0,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000126.0,1689287356.0370624,1689287374.8369002
62,62,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000131.0,1689289492.026406,1689289498.5516896,1,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000127.0,1689287397.9374988,1689287404.4024866
63,63,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000131.0,1689289492.026406,1689289498.5516896,2,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000128.0,1689287414.4769855,1689287422.9687243
64,64,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000131.0,1689289492.026406,1689289498.5516896,3,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000130.0,1689287482.0847545,1689287497.018302
65,65,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000131.0,1689289492.026406,1689289498.5516896,4,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000131.0,1689287515.124072,1689287524.3333418
